,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
34517,L,300.42780686686797,309.4840992846189,1668,28.705274391728338,74
34518,H,302.3065544554649,311.9658990099184,1373,55.74180693066887,13
34519,H,302.4026998068546,312.1503374758568,1497,38.18852582086782,50
34520,H,301.5156791418102,310.4269219229022,1606,32.041416034884556,7
34521,H,301.68909080168464,311.0638428653593,1538,35.136611438431125,80
34522,L,302.32272882343074,311.7973024447696,1518,36.350852757322095,72
34523,L,301.74159487262506,311.3560488896084,1519,35.143067521229156,207
34524,H,301.9370734575838,312.092134182198,1483,40.16743780526882,48
34525,L,300.88540515959244,310.11106998512724,1681,28.01416206383697,121
34526,H,300.5008694404421,311.91260868005526,1440,46.271304878121036,41
34527,L,302.60614327987406,312.06964806750153,1505,36.830893367111486,54
34528,H,299.7446628997345,308.87658003726773,1615,31.604248587400452,97
34529,L,302.51665035470495,311.9333007094099,1338,55.58736238787698,179
34530,L,298.12234119980906,308.9906715075748,1402,49.594355722533535,98
34531,H,302.57035611336744,312.0055341700512,1314,58.87331566793229,143
34532,L,299.9823083690508,309.2706149785695,1659,29.53598944280719,117
34533,H,301.8887416220915,311.5898674598824,1384,56.264072972385605,14
34534,H,298.7576932100131,308.0747262200137,1629,30.895603879992507,167
34535,L,301.5720566415418,311.3743139486229,1485,38.59597228426491,68
34536,H,302.84230399155274,312.41345598732914,1349,55.677928099255084,35
34537,L,301.87693049556214,311.4733397628205,1516,35.120511584072986,208
34538,H,301.90123906466783,311.6011151582011,1384,56.24845116916517,13
34539,H,299.4941421348581,309.3412132022872,1574,35.11185449447979,186
34540,L,300.0266927214201,309.24398436714796,1669,28.84359354584677,108
34541,H,300.5770360534885,311.47511347162765,1428,50.52397875535118,32
34542,H,301.5260130377043,311.5219075861624,1366,52.99723934309439,39
34543,H,299.0583938003369,308.3897458860672,1632,30.723774971236068,168
34544,H,302.7733717660629,312.31005764909435,1340,56.48788174876083,62
34545,L,301.849895391854,311.41242154389045,1349,58.806106163799214,108
34546,H,301.0129313540941,312.04710352498256,1418,48.734932095592654,33
34547,H,299.2286449082646,308.94296736239687,1587,34.1383646636368,181
34548,H,300.6760141718089,311.2375659876586,1423,52.66190611107235,27
34549,H,302.3134339884035,311.5106981502383,1546,34.79701895941224,31
34550,H,302.86022365991624,312.49045367837994,1358,54.867942550922066,12
34551,L,300.83062239184846,310.0475219745442,1681,27.992248956739388,119
34552,H,302.8705182761653,312.411554828496,1401,49.545881090584814,23
34553,L,300.5499848514427,310.623626448217,1338,54.98450882257952,157
34554,H,302.843540591871,312.3306217756129,1442,44.55500949612905,34
34555,L,299.97383862786813,309.27569682327913,1657,29.668117405257213,118
34556,L,302.7830579880759,312.1915289940379,1508,36.37293491056891,65
34557,H,301.2014716527006,310.15460876567386,1624,31.077846401615187,26
34558,H,302.54167370737594,311.9625105610639,1311,59.210333938332916,155
34559,L,301.0966026209285,310.8552125954699,1422,55.32702366342172,19
34560,H,299.2323131881588,310.66362572863875,1424,46.5969688107199,72
34561,L,302.6,312.1,1514,34.41400876616093,211
34562,L,301.16999910143716,310.9024993260779,1394,57.87124876447611,42
34563,L,300.08416348004965,309.2095019119702,1683,27.94704971122581,97
34564,L,299.87355831979227,309.33586500812464,1634,31.23249021124099,137
34565,L,299.6271424457795,309.4837145325323,1576,35.07657784583999,183
34566,H,300.56158997818494,311.512184052356,1429,50.190343528795495,32
34567,L,300.5047606096207,310.2841258616712,1548,35.34920656506323,196
34568,H,302.4292436877072,312.38701848504974,1372,53.43708904318802,17
34569,L,300.89908374113946,310.94580682434463,1468,38.46257952696613,189
34570,H,302.53720696370505,311.9558104455576,1310,59.26281817646543,157
34571,L,300.338914931261,310.354716880776,1410,55.90306557358904,32
34572,H,301.41506450497974,312.02688306312245,1468,42.385975853836115,45
34573,H,300.5022108118712,311.65469405150907,1432,48.90775353641807,35
34574,L,299.85964795783224,308.9879246686755,1678,28.180704084335556,105
34575,H,302.0526541806762,311.52659009404175,1515,34.49175031062789,208
34576,L,300.63485657572403,309.66354236562745,1656,29.340226832220278,61
34577,L,298.1633795936116,309.1281685242659,1390,48.095773644925366,108
34578,H,302.56573590853844,312.1707169885673,1502,37.495622388711716,50
34579,L,300.3502728673084,309.4169031516672,1672,28.467503459745657,79
34580,L,299.63813430206164,309.47711941876304,1578,34.90510488783885,181
34581,H,300.81073562638807,310.91423449666854,1416,55.57188952998286,20
34582,H,302.641625824942,312.112438737413,1324,58.03589655693106,115
34583,H,302.3869849207929,311.6148953044566,1541,35.054447222775046,34
34584,L,301.2568108158299,310.5419005463627,1678,28.16272432633196,134
34585,L,298.87267927180113,309.559215372418,1434,43.20353020847738,106
34586,H,300.23465769507453,309.8173288475372,1580,34.48454768788083,129
34587,H,301.04068286325196,310.466429666264,1652,29.59103836385602,174
34588,H,301.2806783577552,310.87254191595224,1558,36.13185970693724,12
34589,L,302.72588780055065,312.1414903688558,1505,37.31913483601918,50
34590,L,302.6,312.1,1575,32.12992927346232,199
34591,H,298.85790968429905,308.1797149073609,1612,31.525201849706256,171
34592,L,299.4969159005923,309.97896069177756,1446,42.1380228593339,97
34593,L,300.1028268748943,309.93578329157504,1558,35.416195520850955,193
34594,H,301.61005078844653,310.51423861696594,1601,32.33517775956284,2
34595,L,302.27642814675755,311.7582362488266,1518,36.33638379586172,74
34596,L,300.52466708257407,310.30137813823086,1600,33.40408794616548,186
34597,L,301.97886971792,311.50915228844,1340,58.98344586214006,121
34598,H,302.8020044552642,312.2060133657925,1505,36.87082422387185,51
34599,H,302.50575970641887,311.9086395596283,1306,59.632323449578166,169
34600,L,301.40131422124136,311.07598566593106,1378,58.189307054206914,64
34601,H,300.6923377503786,311.55893929122493,1477,43.191946995456405,31
34602,L,297.68491015035596,309.0251989827299,1406,46.46043324856082,113
34603,H,301.11405826842207,310.89265244157986,1406,57.232427164472405,15
34604,H,299.10176222665075,308.3140419483194,1620,31.363160834994048,130
34605,L,302.3563137986315,311.79223534897363,1315,59.502431473118335,157
34606,L,299.2587170291338,309.90790025802744,1382,49.69236719500854,86
34607,H,302.3567623539797,311.57208000147125,1543,34.94866823892894,33
34608,L,299.3687573554354,308.55478590185476,1660,29.162485289129208,125
34609,H,299.1442005934798,308.3566475824822,1652,29.611598813040363,134
34610,L,301.806813154854,311.3619985994081,1527,36.18962911089188,94
34611,L,298.30828708752324,309.1563333663788,1376,49.563676048010684,141
34612,H,301.52341187699983,310.5893528101669,1591,33.21905747600232,4
34613,L,300.18887371114835,309.2770238829952,1681,27.972546047521476,89
34614,L,300.01260935756255,309.2524343854625,1666,29.063294022024483,111
34615,L,302.2242309489697,311.7743334891071,1655,29.55174318233535,181
34616,L,299.6536334504261,308.8061471621407,1670,28.592733099147786,113
34617,L,301.30453984110443,311.0034048808283,1385,58.056242281518635,55
34618,L,299.98561615803345,309.0990730806177,1682,27.92876768393315,99
34619,L,301.02601503213594,310.9352098392162,1330,56.13563635043778,161
34620,L,302.59122082367816,312.08244164735635,1482,37.16845655149632,211
34621,L,301.49953602468736,311.14626455472904,1525,35.18341066255211,205
34622,H,299.26526559307746,308.9978983896162,1585,34.27264050795063,182
34623,H,301.5199601253418,310.96852965512,1531,33.99710583067453,202
34624,L,299.7403059222126,309.41581644667247,1602,33.311227613483595,162
34625,L,297.16591688703977,308.4181103263673,1397,46.641844953990145,128
34626,L,300.72596403731905,310.47583549900986,1606,32.947814848743505,185
34627,L,298.26903861495606,309.6436879452476,1413,46.5119739954373,98
34628,L,302.3324909902678,311.80553927303845,1517,36.35390343445868,72
34629,H,301.8123957106637,310.8008939234402,1585,33.043384987322874,10
34630,H,301.61286854498996,311.0658622852276,1528,34.08337793463352,203
34631,H,300.2954377743631,309.84771888718154,1581,34.38729956101903,123
34632,L,300.2714157158357,310.4412902867288,1343,54.310878003748115,155
34633,L,301.85366975276423,311.41525231457314,1348,58.81129591005082,108
34634,H,300.5289406631547,311.7495692263195,1455,45.152712042143726,36
34635,L,300.1456645597884,309.2507383997648,1683,27.848832639310142,94
34636,L,297.3526987332168,308.5170453742873,1400,47.40383485607865,121
34637,H,298.7235560105206,308.18533401578094,1610,32.28637203857561,172
34638,L,300.3704844958293,309.4344198963854,1671,28.529485787209886,78
34639,H,302.89616677278593,312.49727126198326,1357,54.994412584060925,12
34640,H,301.4862828870299,310.9332487387932,1656,29.336409778840054,176
34641,H,301.1840111080656,310.6165830655925,1541,33.6851531717752,198
34642,L,299.70365409619814,309.5898335500384,1573,35.265050715284225,188
34643,H,300.57678986879944,311.9,1426,47.794413473520336,52
34644,L,301.8445365118754,311.44568671990163,1460,47.06038592137728,33
34645,L,300.2556470959145,310.05320223717786,1557,35.70488971747328,160
34646,H,300.7257900474397,311.9407237559299,1447,45.31539229838101,42
34647,L,302.72780218945286,312.1390830973508,1510,36.47743818420401,55
34648,L,302.493059702108,312.0073184084936,1664,28.94239800855529,180
34649,L,300.0911868736375,309.92569529048586,1586,34.386643086421635,187
34650,L,300.92323050110264,310.96219212574823,1469,38.41342362275542,190
34651,H,300.05947300847697,311.53944200897564,1434,46.66995350074797,50
34652,H,298.8619199181269,308.10757639834725,1642,30.17616016374619,146
34653,H,300.4920221052924,311.67914694729825,1433,48.68767747431577,36
34654,L,301.61879965361396,311.26747341074787,1448,49.555372249529555,29
34655,H,301.4674045492799,310.38508394270923,1609,31.893373951124907,10
34656,H,298.98178339212416,308.21333828716837,1646,29.936433215751727,141
34657,H,300.8906916671206,310.72233999891046,1412,57.298940009805825,16
34658,H,299.58501249517053,308.7368859332742,1617,31.544379685688956,105
34659,L,301.22363455529666,310.44848283921846,1612,31.36221632837419,77
34660,H,301.0670767568088,310.0336921622076,1605,32.10015378380327,29
34661,L,297.0760276149397,308.3497635297787,1397,46.583848596126856,132
34662,H,302.8283396037052,312.39250940555786,1347,55.8420096564633,40
34663,H,302.33704539509813,311.9933408555883,1372,55.7036932561273,13
34664,L,302.38979391283647,311.9178213911249,1661,29.176467130904086,180
34665,H,302.7584361065561,312.46602466557346,1361,54.530007873766266,13
34666,H,300.8398109252472,310.84445377940665,1415,56.19991598534023,19
34667,L,300.2523040682408,310.5069206177348,1457,39.77923814679559,180
34668,H,301.5145161054466,310.5997312103123,1590,33.325806734640906,4
34669,H,299.9692137747647,310.4136776023749,1377,50.728006519148536,71
34670,L,300.1025744561402,309.9240471973683,1560,35.657054517543806,167
34671,L,301.2623401404206,310.9406947883645,1624,31.73202901504669,184
34672,H,299.4091840556106,310.85090076476416,1426,46.61257506373035,67
34673,L,299.6441836533871,308.79780910592973,1670,28.611632693225896,114
34674,H,300.8130181470483,310.908756447084,1416,55.62119197624394,20
34675,H,301.26691854154194,312.0083648176927,1463,43.01559619844672,44
34676,H,298.83523741215436,308.35285611823156,1605,32.6958705112327,174
34677,H,300.15963153217314,311.64549221053625,1435,46.67879101754469,47
34678,L,298.22923663839407,309.6015446759466,1413,46.50846205632889,99
34679,L,300.7978008005782,309.80476069383445,1647,29.839922455106514,51
34680,H,302.8924489860893,312.49320408748036,1357,55.0094387673884,12
34681,L,301.89838623101735,311.48819965606634,1462,46.46520481507125,34
34682,L,298.0116878358712,308.96219567438845,1381,48.84644513037949,139
34683,H,301.81983178733344,312.24075962896,1391,51.41384153394707,24
34684,L,302.17422515619154,311.6556688671436,1327,59.25205958976336,140
34685,H,302.31449776194415,311.5122051627542,1546,34.800742166804454,31
34686,L,302.4371054128077,311.89380769205644,1515,36.3865954415024,67
34687,H,301.38626212564026,312.023282765705,1467,42.50838596602888,45
34688,H,301.0064566297322,309.9855957457679,1635,30.4798003311788,38
34689,H,300.33996263876236,309.86998131938117,1581,34.31605977798024,119
34690,H,300.4374406433772,310.746991644438,1374,51.41050670051593,62
34691,H,299.0349729922249,308.34940419659364,1609,31.879285035912403,149
34692,H,302.5064405930877,311.9503049489403,1661,29.036813864884408,163
34693,H,302.8583211235009,312.4899970696402,1358,54.86162613002305,12
34694,L,302.58735342642456,312.07470685284903,1474,38.1237036731432,209
34695,L,302.0432802808362,311.5615177369555,1523,36.26352508776131,84
34696,H,301.6521101792375,311.6116716530166,1365,53.18104195617679,37
34697,L,298.47820175761404,309.303065478381,1425,43.390803564857144,153
34698,H,301.0119049327844,311.15593232503295,1370,52.24786142744843,50
34699,L,299.91433631477014,310.3746122918703,1378,50.648015645258205,72
34700,L,297.55253762201136,308.88503983507087,1405,46.44875331958924,117
34701,L,302.72351687077776,312.13961858219295,1505,37.34533984929865,50
34702,L,302.39926978004655,311.7547442000517,1535,35.193916320151686,58
34703,L,297.80364122450646,308.872083583547,1393,47.57140924250097,115
34704,L,301.6728701222868,311.310160622858,1451,48.95775127998789,30
34705,L,301.88708364112154,311.48213915563866,1515,35.11881939314642,208
34706,L,300.4596903884745,309.61724085063037,1684,27.84387615538978,107
34707,H,300.4206856062203,311.90258570077754,1438,46.612086173563846,41
34708,L,302.6,312.1,1664,28.825829475241576,180
34709,L,299.31503027053446,309.8709133978627,1440,41.68725980641199,166
34710,L,301.2338152842562,310.91597324635535,1623,31.796685355685998,184
34711,L,302.6,312.1,1580,31.963496698123674,198
34712,L,300.11865785104305,309.2216431072099,1686,27.707463140417218,95
34713,L,300.17522359188416,310.37832816923327,1345,54.07826795855624,155
34714,H,301.93831820655896,310.97928412595854,1575,33.48411372295638,16
34715,L,302.54426937019673,311.9885387403935,1391,48.76546556140433,191
34716,L,302.07155073009955,311.57866304757465,1334,59.11088225388689,130
34717,H,302.87669810356033,312.43009431068094,1392,50.68914915865856,21
34718,L,301.4722810246495,311.2273112161342,1323,57.21478865960695,164
34719,L,299.89421562022676,309.32347062786397,1638,30.91023632446307,133
34720,L,298.24350228663644,309.1852050176056,1390,48.212562655097194,106
34721,L,302.1212472386339,311.6159354289754,1331,59.17921495312157,135
34722,H,301.9719695354305,311.0951512566887,1626,30.96090967245033,68
34723,H,300.48503020339376,311.6959275118549,1433,48.536652393305616,36
34724,H,300.85436331547754,310.2712377590717,1551,33.379051650086296,194
34725,L,301.30185751105995,311.19262832640237,1480,39.05717424836316,72
34726,H,302.04144874902454,311.5148510704067,1662,29.019172143414558,178
34727,H,301.2109268253535,310.6447804837037,1541,33.710146337828256,198
34728,H,300.2819590465889,309.67157614404556,1644,30.024594830520616,172
34729,H,300.44918082017307,309.84676085922894,1564,33.00281076158928,189
34730,L,302.6,312.1,1633,29.986815747999298,187
34731,H,301.6463947398703,311.3717552658833,1391,56.56700657516211,14
34732,H,302.0031437236428,312.28475449367426,1386,52.02243716249403,22
34733,H,300.3851936006928,311.88432263602766,1437,46.69869355300231,41
34734,L,302.5480183515262,311.99603670305237,1398,47.83946717303137,192
34735,H,301.8717712123792,311.5745940911413,1385,56.28528598452597,14
34736,L,299.36194803859814,308.548777681116,1660,29.176103922803716,125
34737,L,299.9584852053019,309.0751340046781,1681,27.98302958939626,100
34738,L,302.580081809986,312.06016361997195,1460,39.919792933464166,206
34739,L,300.7766951046968,309.78646909073717,1648,29.775198321070068,53
34740,H,300.16260146805445,309.7813007340272,1579,34.59983765111295,136
34741,H,302.7344941995123,312.2517412992685,1335,56.94469315573042,78
34742,L,299.94427111753276,310.27976851006514,1454,41.37443378214236,91
34743,H,298.6307789273412,308.0461683910118,1615,31.946189400251143,170
34744,H,300.6680318682725,311.2567235161458,1424,52.48948835468718,27
34745,H,301.1083628259549,310.2541814129774,1594,33.08661947847224,47
34746,H,302.697810579822,312.0552316547478,1516,36.14233702937695,47
34747,L,302.66708136269926,312.13354068134964,1502,35.50311022024452,160
34748,H,302.3995088610402,311.88996166394685,1665,28.814566365119905,179
34749,H,302.1603336518864,311.29380600683896,1558,34.26116778160221,25
34750,H,301.9157065088228,312.08946331360283,1482,40.258247337503164,47
34751,L,301.4573511112233,310.77452728901903,1676,28.242940444489328,141
34752,H,302.0566014087399,311.53072528534653,1515,34.49541559382987,208
34753,L,298.27779214462697,309.6529563884286,1413,46.512746365702384,97
34754,L,302.48273244071163,311.9323054968504,1515,36.40085388772238,65
34755,L,300.4262472430086,310.54263455906016,1341,54.68528878763898,156
34756,L,299.15719063871825,309.62750193151896,1406,52.539696433275125,67
34757,H,300.5110075142145,311.6335819658851,1432,49.09776230703388,35
34758,H,300.89449446080204,309.88268265320175,1607,32.03543542280075,38
34759,L,300.1266113869739,309.9443283577592,1559,35.66456605842934,166
34760,H,301.7126644619275,311.43139801573477,1389,56.48416942259058,14
34761,H,302.71646345804595,312.45595122993103,1362,54.39065868071256,14
34762,H,302.3208436300248,311.9787592670223,1372,55.72394546246897,13
34763,L,301.69595488710655,311.32838543718935,1452,48.70260387934871,31
34764,H,301.02072660370516,311.17581896234395,1522,39.25128075553793,20
34765,L,297.47159286259176,308.62000944247296,1407,45.43997167258108,138
34766,H,298.41850892434866,307.727763386523,1625,31.167866055945105,166
34767,H,302.0003112343661,311.06710758201865,1570,33.70108932028134,18
34768,H,301.2575151178439,310.89956569584876,1555,36.40981858587328,13
34769,L,299.89290419710767,309.3242574817354,1638,30.930694525121094,133
34770,L,301.89784698662055,311.5058634821516,1316,58.24388453128238,167
34771,H,298.54348599100814,307.85031865724665,1627,31.018008005138203,166
34772,L,297.97879593214685,308.9641829539568,1416,44.40745113812963,146
34773,L,299.50165154069384,308.6720454770828,1665,28.89669691861227,119
34774,L,299.97727276873053,309.27363633876166,1658,29.614544807803657,118
34775,L,299.9587806913243,309.2847315852054,1653,29.903021215341422,121
34776,L,301.9304641017209,311.51973555482476,1646,30.217614702766088,182
34777,L,299.93670986445574,309.2979740813266,1648,30.247326114490825,125
34778,H,301.363751349362,312.13130032384686,1406,49.8996544798819,29
34779,H,298.52903708725756,307.8935556308864,1619,31.57313598661115,168
34780,L,297.4638975948396,308.630232186157,1395,47.07618971451192,122
34781,H,300.54107274950337,309.57343865581544,1609,31.902902281063763,56
34782,H,299.44280741444953,308.7924649103757,1636,30.50411004888597,169
34783,H,298.43835532139065,307.7335609062168,1625,31.114383245521495,164
34784,H,301.13273226439975,311.0451456915336,1538,37.907212827202976,17
34785,H,302.158270478177,312.1197838097721,1490,39.22735046774793,49
34786,L,300.8881870902975,310.1142970247451,1681,28.015274836118994,121
34787,H,302.36979690630653,312.3727512575136,1374,53.23972572893776,18
34788,H,302.2264055674923,312.1283006959365,1492,38.937776338157825,49
34789,L,297.9563675160803,309.3126244287909,1409,46.48438536906591,106
34790,L,300.4154617860956,310.5966036147884,1463,40.570160054767854,84
34791,H,301.6158347242678,311.0689697111377,1528,34.08613224396294,203
34792,L,300.1294772241203,309.2255469275709,1685,27.7903968206355,93
34793,H,302.26932944995167,311.65726875563234,1523,35.848722506758854,65
34794,H,298.44126820234294,307.7619023035144,1624,31.25131674192411,166
34795,H,302.76337184518735,312.29505776778103,1339,56.60538081904837,66
34796,L,299.9307465602873,309.3015520638276,1647,30.340353659518687,126
34797,L,299.622693800878,309.5191478944908,1569,35.50709181277437,188
34798,L,301.9884011013286,311.51630082599644,1339,58.996551514326825,122
34799,L,298.02990461508307,309.0331524378558,1391,47.90121689656179,111
34800,H,298.575929960432,307.963894940648,1617,31.745076521584014,169
34801,H,301.21933269873426,310.98739942886084,1403,57.10083412658212,15
34802,L,301.2358668000457,310.95190010003427,1389,57.96181685006284,48
34803,L,301.7639850205562,311.0488722450624,1577,33.12335858551647,68
34804,H,300.42243027881386,311.8461673308467,1436,47.18449402237935,39
34805,H,301.65490601907544,311.3794154171679,1391,56.55636747615571,14
34806,H,302.4292987325875,311.6748398711656,1537,35.20254556405618,36
34807,H,299.1463344713991,310.57258944030497,1423,46.589382453358745,74
34808,H,300.06053716340625,309.7302685817031,1577,34.76314053855002,145
34809,L,300.5726620183185,309.74828794124943,1683,27.88906480732739,111
34810,L,302.680071325368,312.140035662684,1503,35.60053494025975,149
34811,H,301.52072940400956,310.43129881680824,1606,32.05690350562923,6
34812,L,299.39813003591723,310.00714341539873,1381,49.89557937438782,83
34813,H,300.0563279295398,309.72816396476986,1577,34.76987531273635,146
34814,L,301.2515927533944,310.8935313856765,1538,36.016122735435744,118
34815,L,297.34839008982493,308.6688836245205,1402,46.430740302043375,122
34816,L,302.59077612436505,312.0815522487301,1481,37.27829728184059,211
34817,L,302.3601331074063,311.7950998305547,1315,59.507683022683615,158
34818,H,298.4762080024277,307.8143120036416,1622,31.379429342235007,167
34819,H,300.8361628961989,312.00467909508774,1423,48.14806081538055,35
34820,H,299.690456428663,311.1487185715256,1429,46.6373932142938,59
34821,H,301.7561723733208,311.2159901053837,1659,29.182187215245253,177
34822,H,301.8338569494944,310.8312973451171,1583,33.1184993232304,11
34823,L,302.15039820405514,311.7103451101811,1653,29.71909740414175,181
34824,H,302.8710849665546,312.41325489966374,1400,49.65071881259821,23
34825,H,298.60050767087824,307.9100556552058,1628,30.98542418806958,166
34826,L,302.3207831801647,311.9105314436832,1494,35.568405668950476,210
34827,L,301.1398548051954,310.87989110389657,1396,57.82980035714371,39
34828,H,302.84624188619483,312.33872565858456,1438,45.054748946046985,33
34829,H,300.1816716212863,309.56651312706185,1643,30.081901930693544,171
34830,H,301.1096303498638,310.53866036652397,1653,29.551639800077833,175
34831,L,302.6,312.1,1665,28.806905514687436,180
34832,L,302.2820172604217,311.75732038863964,1309,59.172878102474336,170
34833,H,299.54649428871903,309.4197414330785,1572,35.303812391969764,187
34834,H,299.42832565673194,309.24248848509785,1578,34.87052740801703,185
34835,H,302.78318257896876,312.1761753202057,1510,36.44113902639056,51
34836,L,301.41394698654113,311.03051776989406,1535,36.066858433294094,111
34837,H,302.7645337678419,312.3780803910577,1360,55.16933279019757,12
34838,H,299.80302190246204,309.16983246924593,1583,32.40280605228619,182
34839,L,301.6068818234904,311.42609838022565,1481,37.02170485932313,200
34840,H,301.55750014893255,310.46281263031597,1602,32.2840625558497,4
34841,H,302.0579847015203,311.23277552243246,1632,30.65125507452701,83
34842,H,300.6297814887527,311.3485244269934,1426,51.66328015705964,29
34843,L,301.69834871075324,311.2987615330649,1359,58.597729477285746,93
34844,H,302.4739422065224,312.19670462159223,1360,54.37896660611738,20
34845,H,302.6262258555723,312.0893387833584,1322,58.216846197025745,121
34846,L,301.3580510371466,310.65933920309004,1677,28.203220414858635,137
34847,L,299.70075304476416,308.84772327479186,1672,28.4984939104717,111
34848,H,300.5617793369408,309.96472121012846,1647,29.864697521748116,173
34849,H,302.1862985639245,311.9,1325,57.75803872905639,152
34850,L,301.8502937760101,311.14477086223343,1571,33.404661195884835,67
34851,H,300.8309659052629,312.0034318172631,1424,48.13080680547288,36
34852,L,301.79817009845146,311.4406204280773,1317,58.00284769261904,166
34853,H,300.6173858105085,310.87508820409084,1373,51.672799655995476,58
34854,L,300.28690485412784,310.3227106794633,1409,55.75503689251781,34
34855,L,297.1468815758233,308.3903886620451,1399,46.8180475619586,127
34856,L,299.69715340532224,310.1302112393258,1447,40.90936628202265,171
34857,L,299.63644922593585,309.4781304644385,1578,34.93139207540109,182
34858,L,301.03291773896234,310.2821845771963,1679,28.07316709558493,126
34859,L,302.6,312.1,1541,33.404846885819296,206
34860,L,300.1889196443681,310.010397025119,1589,34.165115472765656,187
34861,L,301.5798036119707,311.40772387955155,1480,37.07682836134543,199
34862,H,300.3284210099058,311.82421048107676,1437,46.6936842067564,42
34863,L,301.20598249927843,310.8550477337661,1539,36.001869531024504,120
34864,L,301.3441379848713,310.9716164247351,1536,36.04504312027226,114
34865,H,302.80139024217857,312.35208536326786,1344,56.15866465440154,51
34866,L,300.38336444026646,310.3820704247794,1410,56.02957571460462,31
34867,H,301.4874027668965,312.03592534586204,1470,42.078538240689866,45
34868,L,302.6,312.1,1575,32.14135988082436,199
34869,H,300.5073677473724,311.77473762806545,1452,45.41158703153042,37
34870,H,300.7640318289862,310.08201591449307,1588,33.637549073622125,80
34871,L,297.8216051280237,308.85751776544464,1413,44.727446703666104,144
34872,L,302.6,312.1,1523,34.09376781856636,209
34873,H,298.81679819266265,308.1366457256466,1630,30.861829604192767,167
34874,H,301.4639186758783,310.3820628524278,1609,31.882683939359975,10
34875,L,301.2763662333888,311.17548763969245,1480,39.10068522231916,73
34876,H,301.4497192750648,310.6753275124244,1581,34.10336869922249,6
34877,L,302.5550850883604,312.0066461223897,1496,39.20695428654348,47
34878,H,301.1799952039412,310.1359958434157,1625,31.01198529208625,28
34879,L,302.03347253016665,311.7155706454702,1488,36.15328806358938,206
34880,H,302.65074485850084,312.1261172877513,1325,57.92874791261478,111
34881,L,301.70983175220215,311.0674048325545,1674,28.343932700880856,149
34882,L,302.6,312.1,1632,30.029842033315038,187
34883,L,301.8989286535239,311.4924048330541,1515,35.11684522441268,208
34884,H,301.9607981706101,311.0772770729761,1625,31.001126585803853,66
34885,H,301.37136506915175,311.12422856223657,1399,56.910793663560284,15
34886,H,301.08721532053085,311.98590191506634,1458,43.77933488774397,44
34887,H,298.9305522548448,308.2558166479327,1631,30.7968272829458,167
34888,L,297.71009007510986,308.7818468366817,1411,44.954459489954935,142
34889,H,302.5664892214887,312.4199574131573,1367,53.89274421534268,15
34890,H,302.7374301017657,312.25614515264857,1336,56.9101963042528,77
34891,H,302.64577901826596,312.27120111643933,1363,55.31777622716756,12
34892,H,300.68622907232015,311.2130502264316,1423,52.88254796211511,26
34893,H,299.10778529133444,308.4238713206829,1607,31.96864558481953,147
34894,H,299.6585388667604,309.0184692889871,1587,32.26864323342038,180
34895,L,302.02837803013745,311.54894396292843,1523,36.25886813441795,85
34896,L,300.4873935709361,310.4460883513453,1410,56.32565862497193,28
34897,H,302.2073678232336,311.3604377495809,1554,34.425787381317505,27
34898,H,301.98435024651405,311.3658127521166,1530,35.498975302539954,73
34899,L,299.6319184792245,309.4808489124653,1577,35.002071724097775,182
34900,H,300.6594786136638,310.01083040033797,1565,33.87299648040556,107
34901,H,302.8005584472228,312.4105026025005,1359,55.124301940971485,12
34902,L,301.5463602202313,310.80706691136805,1591,32.41406294001306,71
34903,L,298.34024768163965,309.7190857805597,1414,46.51825714837997,96
34904,L,300.0553906143413,309.89467186576246,1559,35.42410156427645,192
34905,L,302.6,312.1,1582,31.89420892411404,197
34906,H,300.656194978871,310.0280974894355,1586,33.81008803380647,90
34907,H,299.2335312319967,308.43546873411475,1655,29.432937536006584,131
34908,L,300.302461507292,310.3322840044874,1410,55.799313520754175,33
34909,H,302.5638830833761,312.1974947750385,1366,55.42014614577987,12
34910,L,301.38944002267937,311.05084801965546,1527,35.201759996220105,204
34911,L,302.166730266246,311.7000502101942,1476,43.49929705728103,40
34912,L,301.1741696769252,310.8282056649056,1539,35.991928024039126,121
34913,H,300.4544549805258,309.9272274902629,1583,34.13287203115875,109
34914,L,300.457505815942,309.50983837381636,1666,28.796351168888783,72
34915,L,301.2914853390404,311.0090673729266,1431,53.173056779027405,23
34916,L,298.8972827863564,309.4675586377578,1405,51.79995869962989,75
34917,L,301.76488612895014,311.1312679095821,1674,28.36595445158004,151
34918,H,302.5427283971856,311.96409259577837,1311,59.197941333069245,154
34919,L,302.002887098991,311.40734903482956,1672,28.461154839596393,159
34920,H,302.79856234351195,312.4087061091608,1359,55.12679707061004,12
34921,L,301.83725078295123,311.2152109082234,1673,28.39490031318047,154
34922,L,302.22982513701277,311.69736885275955,1323,59.32850956339252,145
34923,L,301.762923533352,311.347192650014,1354,58.68651985835902,100
34924,H,302.0629894159354,312.1078736769919,1487,39.63229498227454,48
34925,L,297.20743957660005,308.44766885113904,1397,46.70236955233227,127
34926,H,302.0244514785294,312.10305643481615,1486,39.79608121625006,48
34927,H,300.9161629359092,309.9073412111213,1640,30.202899670121553,44
34928,H,302.72068494880796,312.23102742321197,1334,57.10695185150615,83
34929,L,301.470494273883,311.12787070541225,1374,58.28442962658916,71
34930,H,300.27867157626093,309.66813212751146,1644,30.02647338499376,172
